relationship_id,person_a_id,person_a_name,person_b_id,person_b_name,phone_call_count,phone_call_dates,phone_call_durations_sec,total_call_duration_sec,transaction_count,transaction_dates,transaction_amounts,total_transaction_amount,meeting_count,meeting_dates,meeting_locations,relationship_label,ground_truth_confidence,relationship_type,relationship_description
REL00001,P0504,Neha Patel 17628,P0415,Nisha Chauhan,17,2025-10-18; 2025-08-25; 2024-03-13; 2025-02-22; 2026-06-25; 2024-02-09; 2026-08-01; 2024-05-07; 2025-01-29; 2026-08-12; 2025-08-02; 2024-06-15; 2024-07-17; 2026-02-20; 2025-03-22; 2024-09-18; 2026-02-28,3198; 3078; 1547; 2207; 3024; 2121; 2720; 2940; 1628; 2972; 356; 2786; 1698; 1856; 3133; 1130; 1112,37506,6,2025-05-04; 2024-02-05; 2026-08-01; 2026-04-12; 2025-01-05; 2025-10-08,195220; 187320; 17407; 192837; 184502; 179170,956456.0,4,2024-05-31; 2024-09-24; 2025-09-11; 2025-04-11,Gurugram; Faridabad; Ghaziabad; Agra,0,0.4024,Colleague,"Observed interaction between Neha Patel 17628 and Nisha Chauhan. Available records include 17 calls, 6 transactions, and 4 meetings. Evidence does not establish a meaningful relationship."
REL00002,P0166,Neha Singh 29537,P0013,Abhishek Agarwal,2,2025-02-11; 2025-12-24,620; 102,722,2,2025-06-14; 2026-07-20,6687; 14359,21046.0,3,2024-06-18; 2026-04-29; 2025-03-13,Faridabad; Faridabad; Lucknow,1,0.7403,Associate,Relationship evidence between Neha Singh 29537 and Abhishek Agarwal. Phone records show 2 calls. Transaction records show 2 transactions. Meeting records show 3 meetings.
REL00003,P0392,Aditya Pandey,P0316,Sneha Kumar,3,2024-04-21; 2025-10-13; 2025-08-09,815; 836; 372,2023,2,2026-04-13; 2024-05-26,9315; 7365,16680.0,0,,,0,0.3262,Acquaintance,"Observed interaction between Aditya Pandey and Sneha Kumar. Available records include 3 calls, 2 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00004,P0408,Karan Gupta 8892,P0316,Sneha Kumar,10,2026-03-03; 2025-12-14; 2025-03-03; 2025-06-21; 2025-03-02; 2025-11-01; 2024-10-22; 2026-01-20; 2025-03-17; 2024-06-23,421; 827; 441; 1501; 335; 465; 1056; 432; 1089; 285,6852,8,2025-04-06; 2025-08-03; 2026-04-13; 2024-08-05; 2024-07-09; 2024-07-24; 2024-03-01; 2026-02-06,25950; 27150; 35993; 55581; 59767; 16312; 23774; 12460,256987.0,1,2024-10-27,Noida,0,0.3322,Business Contact,"Observed interaction between Karan Gupta 8892 and Sneha Kumar. Available records include 10 calls, 8 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00005,P0284,Aditya Gupta 85849,P0066,Rohan Patel,5,2026-02-17; 2024-04-13; 2024-01-10; 2024-03-03; 2024-09-29,3199; 149; 2845; 2505; 3352,12050,4,2024-02-12; 2024-04-09; 2024-08-04; 2025-06-18,217562; 11903; 108478; 168068,506011.0,4,2025-06-16; 2026-02-18; 2024-09-29; 2026-08-12,Chandigarh; Chandigarh; Meerut; Agra,0,0.3503,Acquaintance,"Observed interaction between Aditya Gupta 85849 and Rohan Patel. Available records include 5 calls, 4 transactions, and 4 meetings. Evidence does not establish a meaningful relationship."
REL00006,P0380,Neha Patel,P0352,Priya Mehta 17710,6,2025-11-12; 2025-02-12; 2025-01-22; 2025-09-17; 2024-02-28; 2024-12-30,358; 845; 122; 23; 487; 735,2570,0,,,0.0,1,2025-02-15,Gurugram,0,0.0187,Business Contact,"Observed interaction between Neha Patel and Priya Mehta 17710. Available records include 6 calls, 0 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00007,P0126,Raj Khanna,P0544,Rahul Verma 97915,27,2025-09-25; 2025-12-03; 2025-11-05; 2026-06-09; 2025-05-01; 2025-06-11; 2025-02-27; 2025-11-07; 2024-07-11; 2024-01-04; 2025-10-15; 2026-08-22; 2026-04-12; 2024-11-25; 2024-01-18; 2025-10-10; 2025-01-03; 2026-06-13; 2024-02-16; 2026-04-06; 2026-01-23; 2024-11-29; 2025-11-25; 2025-03-30; 2024-08-27; 2025-09-13; 2025-05-11,1759; 3147; 2629; 3372; 453; 1546; 1872; 2070; 2816; 2985; 531; 3127; 1696; 1323; 2606; 919; 3036; 706; 2250; 2462; 3334; 3055; 2186; 250; 643; 2159; 3383,56315,8,2024-03-30; 2024-11-04; 2026-05-02; 2025-11-20; 2025-07-15; 2026-06-14; 2025-04-23; 2024-06-21,244988; 126991; 40324; 136397; 183707; 151732; 73150; 73794,1031083.0,5,2024-08-04; 2024-06-23; 2026-02-10; 2026-08-24; 2025-11-06,Noida; Noida; Jaipur; Delhi; Gurugram,1,0.9637,Business Contact,Relationship evidence between Raj Khanna and Rahul Verma 97915. Phone records show 27 calls. Transaction records show 8 transactions. Meeting records show 5 meetings.
REL00008,P0335,Pooja Verma 73221,P0393,Vivaan Patel 1968,1,2025-11-12,507,507,2,2026-07-08; 2025-11-17,4533; 22306,26839.0,1,2024-05-19,Lucknow,0,0.2254,Business Contact,"Observed interaction between Pooja Verma 73221 and Vivaan Patel 1968. Available records include 1 calls, 2 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00009,P0504,Neha Patel 17628,P0093,Rahul Gupta 92105,15,2024-12-17; 2025-01-21; 2026-07-21; 2026-01-04; 2026-01-30; 2026-01-23; 2026-01-12; 2025-01-25; 2025-10-31; 2025-10-19; 2026-03-14; 2025-07-29; 2026-05-26; 2025-03-23; 2026-04-07,537; 517; 590; 296; 655; 239; 288; 242; 756; 1576; 1272; 445; 1584; 297; 1233,10527,4,2025-01-11; 2024-05-10; 2026-05-23; 2024-11-16,51832; 2220; 42737; 10111,106900.0,5,2025-08-27; 2025-07-02; 2024-07-13; 2026-05-17; 2025-02-01,Jaipur; Meerut; Meerut; Gurugram; Lucknow,0,0.4323,Acquaintance,"Observed interaction between Neha Patel 17628 and Rahul Gupta 92105. Available records include 15 calls, 4 transactions, and 5 meetings. Evidence does not establish a meaningful relationship."
REL00010,P0228,Vivaan Patel,P0110,Saurabh Pandey,12,2024-05-28; 2026-04-15; 2026-08-23; 2024-10-30; 2026-05-07; 2024-08-12; 2025-05-26; 2025-11-27; 2025-04-11; 2024-05-30; 2025-09-07; 2024-10-17,717; 3179; 2845; 3598; 3402; 3510; 2999; 260; 2573; 1431; 1385; 2177,28076,10,2025-12-06; 2024-05-06; 2024-10-07; 2026-05-18; 2025-12-24; 2025-08-10; 2025-05-04; 2025-10-08; 2026-04-28; 2024-08-08,139767; 86413; 194586; 108751; 25417; 222391; 97331; 50029; 227025; 197895,1349605.0,4,2024-08-03; 2026-05-18; 2026-01-20; 2026-08-14,Ghaziabad; Delhi; Gurugram; Chandigarh,1,0.9173,Known Associate,Relationship evidence between Vivaan Patel and Saurabh Pandey. Phone records show 12 calls. Transaction records show 10 transactions. Meeting records show 4 meetings.
